Name, x, y, z
RIPR, 39.80, 8.56, 4.73
RIR, 51.30, -4.84, 0.57
RIS, 91.90, -10.80, -2.11
RIVL, 73.60, 6.93, -5.48
RIVR, 56.64, 14.28, 3.74
RMDDL, 63.00, -4.22, -2.98
RMDDR, 69.88, -2.04, 2.38
RMDL, 55.61, 4.64, -5.99
RMDR, 56.37, 1.28, 4.90
RMDVL, 50.29, 6.26, -5.89
RMDVR, 52.70, 8.43, 5.60
RMED, 40.31, 16.39, -0.10
RMEL, 42.65, 6.14, -4.44
RMER, 41.20, 9.41, 6.22
RMEV, 52.47, -2.21, 0.00
RMFL, 64.83, -6.73, -0.81
RMFR, 67.73, -3.71, 0.55
RMGL, 96.44, -2.51, -6.24
RMGR, 99.36, -0.88, 5.55
RMHL, 69.53, -0.16, 1.86
RMHR, 65.18, -7.36, 1.37
SAADL, 59.07, -2.51, -1.13
SAADR, 52.59, -2.67, 0.67
SAAVL, 52.21, 10.07, -5.55
SAAVR, 52.46, 8.82, 5.76
SABD, 129.68, -9.85, 1.95
SABVL, 110.46, -7.62, 1.01
SABVR, 94.41, -7.88, 2.51
SDQL, 558.50, 8.92, -7.39
SDQR, 243.25, 19.83, 9.80
SIADL, 52.88, 5.99, -4.74
SIADR, 94.26, -6.92, 0.07
SIAVL, 64.90, -0.57, 1.00
SIAVR, 74.03, -3.93, 2.28
SIBDL, 59.92, -0.62, -3.41
SIBDR, 52.27, 4.06, 2.84
SIBVL, 70.85, -3.99, -2.89
SIBVR, 59.55, -4.35, 3.26
SMBDL, 100.41, -8.18, 1.69
SMBDR, 69.95, -4.52, 2.10
SMBVL, 95.74, -5.46, -0.46
SMBVR, 74.54, -6.54, -0.34
SMDDL, 59.99, -2.64, -3.87
SMDDR, 58.33, -2.51, 1.61
SMDVL, 53.28, 14.26, -4.33
SMDVR, 53.12, 14.21, 4.62
URADL, 28.69, 15.57, -2.61
URADR, 31.47, 13.46, 3.99
URAVL, 39.31, 1.52, -3.45
URAVR, 35.49, -0.83, 3.70
URBL, 36.05, 4.63, -6.52
URBR, 37.07, 9.15, 7.78
URXL, 52.67, 14.08, -2.00
URXR, 52.94, 15.23, 1.90
URYDL, 34.12, 14.01, -3.37
URYDR, 36.45, 14.87, 4.10
URYVL, 35.44, 4.01, -5.63
URYVR, 42.26, 7.51, 4.15
VA01, 109.56, -10.77, -1.31
VA10, 631.93, -10.73, -0.85
VA11, 689.04, -7.90, -1.30
VA12, 739.99, -1.88, -1.51
VA02, 156.13, -13.88, 0.82
VA03, 211.73, -14.23, -0.14
VA04, 276.38, -15.94, 0.64
VA05, 338.48, -16.82, 1.40
VA06, 408.54, -13.61, 2.05
VA07, 459.29, -14.80, 2.91
VA08, 505.45, -14.17, 0.24
VA09, 571.62, -13.06, -0.52
VB01, 107.58, -10.59, 2.36
VB10, 580.62, -13.56, -0.69
VB11, 639.06, -9.61, -0.65
VB02, 104.95, -9.32, -0.25
VB03, 163.81, -13.59, 0.26
VB04, 219.49, -14.67, -0.10
VB05, 289.05, -16.23, 0.62
VB06, 343.80, -16.63, 1.44
VB07, 406.06, -14.38, 1.09
VB08, 467.44, -14.92, 2.96
VB09, 524.53, -14.33, -0.04
VC01, 226.67, -13.11, -0.14
VC02, 295.79, -17.33, 0.49
VC03, 384.20, -16.46, 1.39
VC04, 442.02, -11.40, 0.18
VC05, 455.70, -8.41, 0.57
VC06, 529.95, -12.04, 0.58
VD01, 119.85, -10.48, 0.66
VD10, 601.82, -11.12, -0.04
VD11, 659.80, -7.43, -0.74
VD12, 727.76, -4.28, -1.44
VD13, 744.62, -1.44, 0.90
VD02, 132.21, -11.82, 0.21
VD03, 209.27, -13.48, -0.45
VD04, 265.48, -14.48, 1.17
VD05, 321.24, -16.36, 0.56
VD06, 384.51, -15.71, 0.95
VD07, 431.96, -14.12, -1.04
VD08, 482.46, -13.10, 2.57
VD09, 547.98, -13.36, -0.01
